"Institution","Program","Credential_Type","Status","Min_Avg_Final","Competitive_Final","Avg_Total","English_Req","English_Min","Eng_30_2_Allowed","Math_Req","Math_Min","Social_Req","Social_Min","Science_Req","Science_Min","Bio_30_Req","Chem_30_Req","Phys_30_Req","Sci_30_Req","Elective_Qty","Elective_Pool","Pool_Allows_Group_A","Pool_Allows_Group_B","Pool_Allows_Group_C","Pool_Allows_Group_D","Requirement_Type","HS_Diploma_Req","Math_Assessment_Flag","ELP_Tests_Mentioned"
"NorQuest","Introduction to Healthcare Technology","","","","","","English language proficiency","","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Yes","Yes",""
"NorQuest","Content Creator","","","","","","English 20-1","50.0","","Math (unspecified)","65.0","","","","","","","","","","","","","","","alberta_high_school_courses","Unknown","No","CELPIP, Duolingo, IELTS, TOEFL"
"NorQuest","Health Care Aide","","","","","","English 30-1/30-2","55.0","","Placement test","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","CELPIP, Duolingo, IELTS, TOEFL"
"NorQuest","Addictions Recovery Practitioner","","","","","","English language proficiency","","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Mental Health Recovery Practitioner","","","","","","English language proficiency","","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Administrative Professional","","","","","","English 30-1/30-2","50.0","","Math (unspecified)","50.0","","","","","","","","","","","","","","","alberta_high_school_courses","Unknown","No","Duolingo, IELTS, TOEFL"
"NorQuest","Environmental Technician","","","","","","English 30-1/30-2","50.0","","Math 30-2","50.0","","","","","","","","","","","","","","","alberta_high_school_courses","Unknown","No","Duolingo, IELTS, TOEFL"
"NorQuest","Accounting Technician","","","","","","English 30-1/30-2","50.0","","Math 20-1/20-2 (or higher)","65.0","","","","","","","","","","","","","","","alberta_high_school_courses","Unknown","No","Duolingo, IELTS, TOEFL"
"NorQuest","Business Administration","","","","","","English 30-1/30-2","50.0","","Math 20-1/20-2 (or higher)","65.0","","","","","","","","","","","","","","","alberta_high_school_courses","Unknown","No","Duolingo, IELTS, TOEFL"
"NorQuest","Dental Office Assistant","","","","","","English 30-1/30-2","50.0","","Placement test","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Hospital Unit Clerk","","","","","","English 30-1/30-2","50.0","","Placement test","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Medical Office Assistant","","","","","","English 30-1/30-2","50.0","","Placement test","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Therapeutic Recreation","","","","","","English 30-1/30-2","50.0","","Placement test","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Veterinary Office Assistant","","","","","","English 30-1/30-2","50.0","","Placement test","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Indigenous Studies","","","","","","English 30-1/30-2","50.0","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Mental Health and Addiction Support Worker","","","","","","English 30-1/30-2","50.0","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Health Care Aide Workplace","","","","","","English 30-1/30-2","55.0","","Placement test","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Interdisciplinary Therapy Assistant","","","","","","English 30-1/30-2","60.0","","Math (unspecified)","50.0","","","","","","","","","","","","","","","alberta_high_school_courses","Unknown","No","Duolingo, IELTS, TOEFL"
"NorQuest","Biological, Life, and Health Sciences Specialization","","","","","","English 30-1/30-2","60.0","","Math 30-1","50.0","","","","","","","","","","","","","","","alberta_high_school_courses","Unknown","No","Duolingo, IELTS, TOEFL"
"NorQuest","Energy Management","","","","","","English 30-1/30-2","60.0","","Math 30-1","50.0","","","","","","","","","","","","","","","alberta_high_school_courses","Unknown","No","Duolingo, IELTS, TOEFL"
"NorQuest","Machine Learning Analyst","","","","","","English 30-1/30-2","60.0","","Math 30-1","50.0","","","","","","","","","","","","","","","alberta_high_school_courses","Unknown","No","Duolingo, IELTS, TOEFL"
"NorQuest","Sustainability Coordinator","","","","","","English 30-1/30-2","60.0","","Math 30-1","50.0","","","","","","","","","","","","","","","alberta_high_school_courses","Unknown","No","Duolingo, IELTS, TOEFL"
"NorQuest","Settlement Studies","","","","","","English 30-1/30-2","60.0","","Placement test","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Social Work","","","","","","English 30-1/30-2","60.0","","Placement test","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Arts and Sciences Diploma","","","","","","English 30-1/30-2","60.0","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Child and Youth Care","","","","","","English 30-1/30-2","60.0","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Community Support Worker","","","","","","English 30-1/30-2","60.0","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Disability Studies","","","","","","English 30-1/30-2","60.0","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Early Learning and Child Care – certificate","","","","","","English 30-1/30-2","60.0","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Early Learning and Child Care – diploma","","","","","","English 30-1/30-2","60.0","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Educational Assistant","","","","","","English 30-1/30-2","60.0","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Justice","","","","","","English 30-1/30-2","60.0","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Medical Device Reprocessing Technician","","","","","","English 30-1/30-2","60.0","","Placement test","","","","","","","","","","","","","","","","placement_assessment","Yes","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","New Media, Communications, and Technology Specialization","","","","","","English 30-1/30-2","65.0","","Placement/assessment","","","","","","","","","","","","","","","","placement_assessment","Unknown","Yes","Duolingo, IELTS, TOEFL"
"NorQuest","Pharmacy Technician","","","","","","English 30-1/30-2","60.0","","Math 30-1","60.0","","","","","","","","","","","","","","","alberta_high_school_courses","Yes","No","IELTS"
"NorQuest","Practical Nurse","","","","","","English 30-1/30-2","60.0","","Math 20-1/20-2 (or higher)","60.0","","","","","","","","","","","","","","","alberta_high_school_courses","Unknown","No","IELTS, TOEFL"
"UAlberta","Art & Design (First-Year)","Degree","Active","70","Competitive varies by year","","English Language Arts 30-1","50","No","","","","","","","","","","","Four","Groups A, B, or C","","","","","notes: Portfolio required for some programs","Yes","No",""
"UAlberta","Arts (First-Year)","Degree","Active","70","Competitive varies by year","","English Language Arts 30-1","50","No","","","","","","","","","","","Four","Groups A, B, or C","","","","","notes: Admission average uses 5 subjects (English 30-1 + 4 from Groups A/B/C); max 1 Group B; each subject must be >=50","Yes","No",""
"UAlberta","Augustana (First-Year)","Degree","Active","70","Competitive varies by year","","English Language Arts 30-1","50","No","","","","","","","","","","","Four","Groups A, B, or C","","","","","notes: 3 admission subjects must be from Groups A or C (UAlberta chart); 1 more from Groups A/B/C (verify current)","Yes","No",""
"UAlberta","Campus Saint-Jean (First-Year)","Degree","Active","70","Competitive varies by year","","English Language Arts 30-1","50","No","","","","","","","","","","","Four","Groups A, B, or C","","","","","notes: French language proficiency (e.g., French 30 or equivalent) required; not checked by this tool (verify current)","Yes","No",""
"UAlberta","Education (First-Year)","Degree","Active","70","Competitive varies by year","","English Language Arts 30-1","50","No","","","","","","","","","","","Four","Groups A, B, or C","","","","","notes: 3 admission subjects must be from Groups A or C (UAlberta chart); 1 more from Groups A/B/C (some substitutions may apply)","Yes","No",""
"UAlberta","Music (First-Year)","Degree","Active","70","Competitive varies by year","","English Language Arts 30-1","50","No","","","","","","","","","","","Four","Groups A, B, or C","","","","","notes: Audition required for some programs","Yes","No",""
"UAlberta","Native Studies (First-Year)","Degree","Active","70","Competitive varies by year","","English Language Arts 30-1","50","No","","","","","","","","","","","Four","Groups A, B, or C","","","","","notes: Admission average uses 5 subjects; max 1 Group B; additional requirements (e.g., interview) may apply in some cases","Yes","No",""
"UAlberta","Science (First-Year)","Degree","Active","70","Competitive varies by year","","English Language Arts 30-1","50","No","Mathematics 30-1","50","","","Two of Biology 30, Chemistry 30, Mathematics 31, Physics 30","50","","","","","One","Groups A, B, or C","","","","","notes: Admission average uses 5 subjects; Computing Science Advanced CTS may be used as an admission subject (see UAlberta chart)","Yes","No",""
"UAlberta","Agricultural, Life and Environmental Sciences (ALES) (First-Year)","Degree","Active","70","Competitive varies by year","","English Language Arts 30-1","50","No","Mathematics 30-1 or 30-2","50","","","Biology 30, Chemistry 30, Physics 30","50","","","","","Two","Groups A, B, or C","","","","","notes: One admission subject must be from Groups A or C (UAlberta chart); CTS substitutions may apply (verify current)","Yes","No",""
"UAlberta","Open Studies (First-Year)","Other","Active","70","Competitive varies by year","","English Language Arts 30-1","50","No","","","","","","","","","","","Four","Groups A, B, or C","","","","","notes: Open Studies admission rules can vary; confirm requirements for your intended pathway","Yes","No",""
"MacEwan","Social Work","Other","Active","65","Low 80s","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Social Work","Other","Active","65","Low 80s","","30-1","65","","","50","30-1","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Bridge to Canadian Nursing","Other","Active","65","Low-to-mid 80s","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Occupational Health Nursing (OHN)","Other","Active","65","Low-to-mid 80s","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Perioperative Nursing","Other","Active","65","Low-to-mid 80s","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Nursing","Other","Active","65","Low-to-mid 80s","","30-1","65","","30-1 or 30-2","50","","50.0","Bio 30, Chem 30, Sci 30","50.0","","","","","0","","","","","","","","",""
"MacEwan","Psychiatric Nursing","Other","Active","65","Low-to-mid 80s","","30-1","65","","30-1 or 30-2","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Minors - Bachelor of Arts","Degree","Active","65","Mid-70s","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Minors - Bachelor of Commerce","Degree","Active","65","Mid-70s","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Minors - Bachelor of Science","Degree","Active","65","Mid-70s","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Bachelor of Science Undeclared","Degree","Active","65","Mid-70s","","30-1","65","","30-1","50","","50.0","Bio 30, Chem 30","50.0","","","","","Check Notes","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Computer Science (Major)","Degree","Active","65","Mid-70s","","30-1","65","","30-1","50","","50.0","Bio 30, Chem 30","50.0","","","","","Check Notes","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Data Science (Major)","Degree","Active","65","Mid-70s","","30-1","65","","30-1","50","","50.0","Bio 30, Chem 30","50.0","","","","","Check Notes","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Environmental Sciences (Major)","Degree","Active","65","Mid-70s","","30-1","65","","30-1","50","","50.0","Bio 30, Chem 30","50.0","","","","","Check Notes","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Physical Sciences (Major)","Degree","Active","65","Mid-70s","","30-1","65","","30-1","50","","50.0","Bio 30, Chem 30","50.0","","","","","Check Notes","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Mathematical Sciences (Major)","Degree","Active","80","Mid-70s","","30-1","65","","30-1 or 30-2","50","","50.0","Bio 30, Chem 30","50.0","","","","","Check Notes","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Bachelor of Arts Undeclared","Degree","Active","65","Mid-70s","","30-1","65","","30-1","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Arts and Cultural Management (Major)","Degree","Active","65","Mid-70s","2","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Studio Arts (Major)","Degree","Active","65","Mid-70s","","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Accounting (Major)","Degree","Active","65","Mid-70s","","30-1","65","","30-1 or 30-2","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Bachelor of Commerce Undeclared","Degree","Active","65","Mid-70s","","30-1","65","","30-1 or 30-2","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Arts and Cultural Management","Other","Active","65","Mid-70s","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Psychology","Other","Active","65","Mid-70s","","30-1","65","","30-1","50","","50.0","Bio 30, Chem 30","50.0","","","","","Check Notes","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Biological Sciences","Other","Active","70","Mid-70s","","30-1","65","","30-1","50","","50.0","Bio 30, Chem 30","50.0","","","","","Check Notes","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Political Science","Other","Active","65","Mid-70s","","30-1","65","","30-1","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Psychology","Other","Active","65","Mid-70s","","30-1","65","","30-1","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Accounting and Strategic Measurement","Other","Active","65","Mid-70s","","30-1 or 30-2","65","","30-1 or 30-2","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Investigative Studies","Other","Active","65","Mid-to-high 70s","","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Police Studies","Other","Active","65","Mid-to-high 70s","","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Behavioural Interventions Certificate","Certificate","Suspended","65","Minimum Only","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Chemistry (Major)","Degree","Active","65","Minimum Only","","30-1","65","","30-1","50","","50.0","Bio 30, Chem 30","50.0","","","","","Check Notes","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Applied Statistics (Major/Honours)","Degree","Active","65","Minimum Only","","30-1","65","","30-1 or 30-2","50","","50.0","Bio 30, Chem 30","50.0","","","","","Check Notes","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Mathematics (Major/Honours)","Degree","Active","80","Minimum Only","","30-1","65","","30-1 or 30-2","50","","50.0","Bio 30, Chem 30","50.0","","","","","Check Notes","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Journalism (Major)","Degree","Active","65","Minimum Only","","30-1","65","","","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Professional Communication (Major)","Degree","Active","65","Minimum Only","","30-1","65","","","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Public Relations (Major)","Degree","Active","65","Minimum Only","","30-1","65","","","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","History (Major/Minor)","Degree","Active","65","Minimum Only","","30-1","65","","30-1","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Philosophy (Major/Minor)","Degree","Active","65","Minimum Only","","30-1","65","","30-1","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Composition Major – Bachelor of Music","Degree","Active","65","Minimum Only","","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Digital Experience Design (Major)","Degree","Active","65","Minimum Only","","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","General (Major)","Degree","Active","65","Minimum Only","","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Music Theatre Performance (Major)","Degree","Active","65","Minimum Only","","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Performance (Major)","Degree","Active","65","Minimum Only","","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Recording and Production (Major)","Degree","Active","65","Minimum Only","","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Theatre Production (Major)","Degree","Active","65","Minimum Only","","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Bachelor of Physical Education Transfer","Degree","Active","65","Minimum Only","","30-1","65","","","50","","50.0","Bio 30","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Human Resources Management (Major)","Degree","Active","65","Minimum Only","","30-1","65","","30-1 or 30-2","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","International Business (Major)","Degree","Active","65","Minimum Only","","30-1","65","","30-1 or 30-2","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Legal Studies in Business (Major)","Degree","Active","65","Minimum Only","","30-1","65","","30-1 or 30-2","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Management (Major)","Degree","Active","65","Minimum Only","","30-1","65","","30-1 or 30-2","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Marketing (Major)","Degree","Active","65","Minimum Only","","30-1","65","","30-1 or 30-2","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Supply Chain Management (Major)","Degree","Active","65","Minimum Only","","30-1","65","","30-1 or 30-2","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Bachelor of Public Safety and Justice","Degree","Active","65","Minimum Only","","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Aviation Management (Major)","Degree","Active","65","Minimum Only","","30-1 or 30-2","65","","30-1 or 30-2","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Community Justice and Corrections","Other","Active","","Minimum Only","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Alberta Foundation Program (AFP)","Other","Active","65","Minimum Only","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Behaviour Analysis","Other","Active","65","Minimum Only","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Digital Experience Design","Other","Active","65","Minimum Only","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Early Learning and Child Care","Other","Active","65","Minimum Only","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","English as an Additional Language (EAL)","Other","Active","65","Minimum Only","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Foundation Program International","Other","Active","65","Minimum Only","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Gerontology","Other","Active","65","Minimum Only","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Hospice Palliative Care","Other","Active","65","Minimum Only","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","pimâcihisowin Foundation Program (PFP)","Other","Active","65","Minimum Only","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Public Relations","Other","Suspended","65","Minimum Only","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Sustainability Studies","Other","Active","65","Minimum Only","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Human Service Administration","Other","Active","Requires Degree/Diploma","Minimum Only","","30-1","65","","","50","","50.0","","50.0","","","","","0","","","","","","","","",""
"MacEwan","Academic Upgrading","Other","Active","65","Minimum Only","","30-1","65","","30-1","50","30-1","50.0","Bio 30, Chem 30, Sci 30","50.0","","","","","0","","","","","","","","",""
"MacEwan","Massage Therapy","Other","Active","60","Minimum Only","","30-1 or 30-2","65","","","50","","50.0","Bio 30","50.0","","","","","Check Notes","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Hearing Aid Practitioner","Other","Active","65","Minimum Only","","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Check Notes","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Child and Youth Care","Other","Active","65","Minimum Only","","30-1","65","","","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Library and Information Technology","Other","Active","65","Minimum Only","","30-1","65","","","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Anthropology","Other","Active","65","Minimum Only","","30-1","65","","30-1","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Economics","Other","Active","65","Minimum Only","","30-1","65","","30-1","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","English","Other","Active","65","Minimum Only","","30-1","65","","30-1","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Sociology","Other","Active","65","Minimum Only","","30-1","65","","30-1","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Design","Other","Active","65","Minimum Only","2","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Speech Language Pathologist Assistant","Other","Active","65","Minimum Only","","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Travel and Tourism","Other","Active","65","Minimum Only","","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Four","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Asia Pacific Management","Other","Active","65","Minimum Only","","30-1","65","","30-1 or 30-2","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Paralegal Studies","Other","Active","65","Minimum Only","","30-1","65","","30-1 or 30-2","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Community Justice and Corrections","Other","Active","65","Minimum Only","","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Early Childhood Curriculum Studies (BECCS)","Other","Active","65","Minimum Only","","30-1 or 30-2","65","","","50","30-1","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Emergency Communications and Response","Other","Active","65","Minimum Only","","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Human Resources Management","Other","Active","65","Minimum Only","","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Business Management","Other","Active","65","Minimum Only","","30-1 or 30-2","65","","30-1 or 30-2","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Insurance and Risk Management","Other","Active","65","Minimum Only","","30-1 or 30-2","65","","30-1 or 30-2","50","","50.0","","50.0","","","","","Three","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Acupuncture","Other","Active","60","Minimum Only","","30-1 or 30-2","65","","","50","","50.0","Bio 30, Chem 30, Sci 30","50.0","","","","","Two","Groups A, B, C, or D","","","","","","","",""
"MacEwan","Office Assistant - Administrative major","Other","Active","60","Minimum Only","","30-1 or 30-2","65","","","50","","50.0","","50.0","","","","","Two","Groups A, B, C, or D","","","","","","","",""
