program_name,program_url,program_type,faculty,college,campus,language,seed_source,fetched_at_utc
Bioprocessing + Biomanufacturing,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-chemical-engineering-bioprocessing-biomanufacturing.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Business and Marketing Route,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-design-business-and-marketing-route.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Business Economics and Law,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-commerce-business-economics-and-law.html,General / Major,Business,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Business Minor,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-business-minor.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Business Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-commerce-business-studies.html,General / Major,Business,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Business Technology Management,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-commerce-business-technology-management.html,General / Major,Business,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Business Technology Management,https://www.ualberta.ca/en/undergraduate-programs/bilingual-bachelor-of-commerce-business-technology-management.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Career and Technology Studies: Communication Arts,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-career-and-technology-studies-communication-arts.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Career and Technology Studies: Computer Science,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-career-and-technology-studies-computer-science.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Career and Technology Studies: Design,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-career-and-technology-studies-design.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Career and Technology Studies: Health,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-career-and-technology-studies-health.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Career and Technology Studies: Human Sciences,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-career-and-technology-studies-human-sciences.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Career and Technology Studies: Media,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-career-and-technology-studies-media.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Career and Technology Studies: Natural Resources,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-career-and-technology-studies-natural-resources.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Career and Technology Studies: Recreation,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-career-and-technology-studies-recreation.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
"Career and Technology Studies: Trades, Manufacturing, and Transportation",https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-career-and-technology-studies-trades-manufacturing-and-transportation.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Cell Biology,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-cell-biology.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Chemical and Physical Sciences,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-chemical-and-physical-sciences.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Chemical Engineering,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-chemical-engineering-chemical-engineering.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Chemical Engineering - Computer Process Control,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-chemical-engineering-computer-process-control-chemical-engineering-computer-process-control.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Chemistry,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-chemistry.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Chemistry,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-chemistry.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Chimie,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-sciences-chimie.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Civil Engineering,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-civil-engineering-civil-engineering.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Classics,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-classics.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Clean Energy + Sustainable Process Systems,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-chemical-engineering-clean-energy-and-sustainable-process-systems.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
"Clothing, Textiles and Material Culture",https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-human-ecology-clothing-textiles-and-material-culture.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Commerce International,https://www.ualberta.ca/en/undergraduate-programs/bilingual-bachelor-of-commerce-affaires-internationales.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Companion and Performance Animals,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-animal-health-companion-and-performance-animals.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Composition + Sonic Arts,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-music-composition-and-sonic-arts.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Comptabilite,https://www.ualberta.ca/en/undergraduate-programs/bilingual-bachelor-of-commerce-comptabilite.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Computer Engineering,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-computer-engineering-computer-engineering.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Computing Science,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-computing-science.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Computing Science - Artificial Intelligence Option,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-computing-science-artificial-intelligence-option.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Computing Science - Software Practice Option,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-computing-science-software-practice-option.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Computing Science and Mathematics,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-computing-science-and-mathematics.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Conservation Biology,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-environmental-and-conservation-sciences-conservation-biology.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Creativity and Culture (Interdisciplinary),https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-creativity-and-culture-interdisciplinary.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Criminology,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-in-criminology-criminology.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Crop Science,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-agriculture-crop-science.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Degré de Généraliste,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-en-education-elementaire-degre-de-generaliste.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Dental Surgery,https://www.ualberta.ca/en/undergraduate-programs/doctor-of-dental-surgery-dental-surgery.html,General / Major,Medicine and Dentistry,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Drama,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-drama-drama.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Drama,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-drama.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Drama,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-drama.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Drama - Acting,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-fine-arts-in-drama-acting-drama-acting.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Earth Sciences,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-earth-sciences.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
East Asian Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-east-asian-studies.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
"Ecology, Evolution and Environmental Biology",https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-ecology-evolution-and-environmental-biology.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Economics,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-economics.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Education - Kinesiology - Elementary,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-kinesiology-education-kinesiology-elementary.html,General / Major,"Kinesiology, Sport, and Recreation",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Education - Kinesiology - Secondary,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-kinesiology-education-kinesiology-secondary.html,General / Major,"Kinesiology, Sport, and Recreation",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Education - Music - Elementary,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-music-education-music-elementary.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Education - Music - Secondary,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-music-education-music-secondary.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Electrical Engineering,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-electrical-engineering-electrical-engineering.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Elementary Education,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-elementary-education-combined-degree.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Elementary Education - Native Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-in-native-studies-elementary-education-native-studies.html,General / Major,Native Studies,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Engineering Physics,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-engineering-physics-engineering-physics.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Engineering Route,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-design-engineering-route.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
English,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-english.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
English Language Arts,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-english-language-arts.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Entrepreneuriat et innovation,https://www.ualberta.ca/en/undergraduate-programs/bilingual-bachelor-of-commerce-entrepreneuriat-et-entreprise-familiale.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Entrepreneurship and Innovation,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-commerce-entrepreneurship-and-innovation.html,General / Major,Business,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Environmental Earth Sciences,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-environmental-earth-sciences.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Environmental Economics and Policy,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-environmental-and-conservation-sciences-environmental-economics-and-policy.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Environmental Engineering,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-civil-engineering-environmental-engineering-environmental-engineering.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Environmental Science,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-environmental-science.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Environmental Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-in-environmental-studies-environmental-studies-ales.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Environmental Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-in-environmental-studies-environmental-studies-arts.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Ethics and Global Studies (Interdisciplinary),https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-ethics-and-global-studies-interdisciplinary.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Family Science,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-human-ecology-family-science.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Fashion Business Management,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-fashion-business-management-fashion-business-management.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Film Studies,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-film-studies.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Finance,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-commerce-finance.html,General / Major,Business,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Finance,https://www.ualberta.ca/en/undergraduate-programs/bilingual-bachelor-of-commerce-finance.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Food Animals,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-animal-health-food-animals.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Food Business Management,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-agricultural-food-business-management.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Forest Business Management,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-forest-business-management-forest-business-management.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Forestry,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-forestry-forestry.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Foundational/Qualifying Year,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-engineering-qualifying-year.html,General / Major,Engineering,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Français,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-en-education-secondaire-francais.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Français-langue et littérature,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-arts-avec-specialisation-francais-langue-et-litterature.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Français-littérature,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-arts-francais-litterature.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Française-langue,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-arts-francaise-langue.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
General Arts/Secondary Education,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-and-education-general-arts-secondary-education.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
General Program,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-nutrition-and-food-science-general-program.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
General Route,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-design-general-route.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
General Route,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-music-general-route.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
General Science,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-secondary-education-general-science.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
General Sciences/Secondary Education,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-general-sciences.html,General / Major,Augustana,,Augustana (Camrose),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Generalist Degree,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-education-in-elementary-education-generalist-degree.html,General / Major,Education,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Geology,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-geology.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Geophysics,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-geophysics.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Gestion des operations,https://www.ualberta.ca/en/undergraduate-programs/bilingual-bachelor-of-commerce-gestion-des-operations.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Gestion des ressources humaines,https://www.ualberta.ca/en/undergraduate-programs/bilingual-bachelor-of-commerce-gestion-des-ressources-humaines.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Gestion Stratégique et Organisation,https://www.ualberta.ca/en/undergraduate-programs/bilingual-bachelor-of-commerce-gestion-strategique-et-organisation.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Génie (première année),https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-sciences-en-genie.html,General / Major,Engineering,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Histoire,https://www.ualberta.ca/en/undergraduate-programs/baccalaureat-es-arts-histoire.html,General / Major,Faculté Saint-Jean,,Campus Saint-Jean (Edmonton),French,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
History,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-history.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
"History of Art, Design and Visual Culture",https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-history-of-art-design-and-visual-culture.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Human Dimensions of Environmental Management,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-environmental-and-conservation-sciences-human-dimensions-of-environmental-management.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Human Dimensions of Environmental Management,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-in-environmental-and-conservation-sciences-human-dimensions-of-environmental-management1.html,General / Major,"Agricultural, Life and Environmental Sciences",,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Human Geography,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-arts-human-geography.html,General / Major,Arts,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Human Resources Management,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-commerce-human-resources-management.html,General / Major,Business,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
Immunology and Infection,https://www.ualberta.ca/en/undergraduate-programs/bachelor-of-science-with-major-immunology-and-infection.html,General / Major,Science,,North Campus (Edmonton),English,ualberta-coveo-ug-programs,2026-04-16T18:25:03Z
